,ppltrst,agea,dweight,pspwght,pweight,psu,stratum,weight,male,eco_friendly,income
178,9.0,29.0,1.205931305885315,2.32342267036438,0.370392886,450.0,23.0,0.86057925,0.0,1.0,3.0
179,5.0,76.0,0.687493085861206,0.4502679109573364,0.370392886,452.0,53.0,0.16677603,1.0,0.0,4.0
184,8.0,75.0,0.8263532519340515,1.138068675994873,0.370392886,144.0,84.0,0.42153254,1.0,1.0,3.0
185,5.0,42.0,0.5143495798110962,0.4376309812068939,0.370392886,619.0,31.0,0.1620954,1.0,0.0,2.0
187,3.0,56.0,0.5087624788284302,0.3499336540699005,0.370392886,468.0,28.0,0.12961294,0.0,1.0,4.0
190,7.0,47.0,0.51173996925354,0.27527758479118347,0.370392886,386.0,50.0,0.10196086,0.0,1.0,2.0
194,9.0,25.0,0.51173996925354,0.324184387922287,0.370392886,413.0,50.0,0.12007559,0.0,0.0,2.0
196,7.0,62.0,0.852541983127594,0.5831711292266846,0.370392886,306.0,58.0,0.21600243,0.0,1.0,3.0
197,5.0,52.0,1.3680397272109985,0.7603707909584045,0.370392886,264.0,66.0,0.28163594,0.0,1.0,6.0
204,2.0,36.0,1.0848501920700073,0.6062991619110107,0.370392886,502.0,17.0,0.2245689,0.0,1.0,6.0
205,2.0,37.0,1.0683296918869019,0.5970659852027893,0.370392886,505.0,35.0,0.221149,0.0,1.0,7.0
207,7.0,64.0,0.9336193203926086,0.7075984477996826,0.370392886,592.0,41.0,0.26208943,1.0,1.0,5.0
208,6.0,53.0,0.9257978796958923,0.7877089977264404,0.370392886,590.0,43.0,0.29176182,1.0,0.0,5.0
215,5.0,44.0,1.8684228658676147,1.620965600013733,0.370392886,61.0,83.0,0.6003941,1.0,0.0,8.0
216,4.0,75.0,0.49938371777534485,0.3784874677658081,0.370392886,585.0,48.0,0.14018907,1.0,0.0,2.0
217,6.0,70.0,0.8770575523376465,0.6967888474464417,0.370392886,354.0,9.0,0.25808564,0.0,1.0,6.0
218,5.0,37.0,0.778115451335907,1.6384674310684204,0.370392886,164.0,88.0,0.6068767,1.0,1.0,6.0
220,8.0,22.0,1.8718838691711426,2.917245388031006,0.370392886,366.0,8.0,1.080527,0.0,0.0,1.0
221,8.0,29.0,1.296010971069336,0.8483141660690308,0.370392886,236.0,56.0,0.31420952,0.0,0.0,3.0
222,8.0,56.0,2.059441328048706,1.4087364673614502,0.370392886,317.0,64.0,0.521786,0.0,1.0,3.0
227,4.0,30.0,0.8452499508857727,0.7409782409667969,0.370392886,283.0,57.0,0.27445307,1.0,0.0,6.0
230,8.0,20.0,0.893642008304596,0.6940091252326965,0.370392886,112.0,77.0,0.25705606,0.0,1.0,5.0
233,9.0,26.0,0.46499037742614746,0.4743172228336334,0.370392886,629.0,47.0,0.17568372,1.0,1.0,2.0
235,6.0,72.0,0.5087624788284302,0.3499336540699005,0.370392886,525.0,28.0,0.12961294,0.0,1.0,3.0
238,6.0,83.0,0.9068251848220825,0.6872910261154175,0.370392886,21.0,39.0,0.2545677,1.0,1.0,6.0
240,5.0,55.0,0.9918288588523865,0.7879699468612671,0.370392886,356.0,11.0,0.29185846,0.0,0.0,2.0
241,2.0,65.0,1.1397050619125366,1.835224986076355,0.370392886,339.0,3.0,0.67975426,0.0,1.0,8.0
251,7.0,74.0,0.778115451335907,0.6315066814422607,0.370392886,162.0,88.0,0.23390558,0.0,0.0,5.0
252,6.0,50.0,1.374986171722412,2.4537413120269775,0.370392886,532.0,53.0,0.90884835,1.0,0.0,9.0
253,3.0,69.0,0.7803374528884888,0.6365519165992737,0.370392886,541.0,74.0,0.23577431,1.0,1.0,2.0
264,4.0,60.0,1.0848501920700073,1.5123902559280396,0.370392886,536.0,17.0,0.5601786,0.0,0.0,4.0
265,6.0,72.0,1.064940094947815,0.69747394323349,0.370392886,537.0,2.0,0.25833938,1.0,0.0,3.0
266,6.0,29.0,0.47394663095474243,1.6256779432296753,0.370392886,157.0,90.0,0.60213953,1.0,0.0,5.0
267,7.0,50.0,1.813650369644165,1.1729650497436523,0.370392886,611.0,39.0,0.4344579,0.0,1.0,5.0
268,7.0,60.0,0.648005485534668,0.42207640409469604,0.370392886,223.0,56.0,0.1563341,1.0,1.0,1.0
270,6.0,81.0,0.40511515736579895,0.6279028654098511,0.370392886,13.0,30.0,0.23257075,0.0,0.0,2.0
273,8.0,21.0,1.546310305595398,1.0177350044250488,0.370392886,540.0,89.0,0.3769618,0.0,1.0,4.0
274,5.0,66.0,0.42369866371154785,0.2670941948890686,0.370392886,371.0,52.0,0.09892979,1.0,0.0,2.0
277,7.0,72.0,0.8669471144676208,0.6570670008659363,0.370392886,6.0,36.0,0.24337295,1.0,0.0,5.0
278,6.0,61.0,1.2960110902786255,0.8865207433700562,0.370392886,224.0,56.0,0.32836097,0.0,0.0,3.0
283,7.0,40.0,0.7795769572257996,1.407425880432129,0.370392886,379.0,13.0,0.52130055,1.0,1.0,8.0
284,4.0,45.0,2.3568596839904785,1.7328821420669556,0.370392886,543.0,26.0,0.6418472,1.0,1.0,8.0
286,9.0,44.0,0.8892930150032043,0.49427855014801025,0.370392886,288.0,61.0,0.18307726,0.0,1.0,5.0
287,8.0,76.0,0.5143495798110962,0.6947234869003296,0.370392886,16.0,31.0,0.25732064,1.0,1.0,3.0
290,5.0,27.0,1.2026939392089844,0.7872328162193298,0.370392886,287.0,66.0,0.29158545,0.0,1.0,3.0
292,2.0,72.0,1.0733081102371216,0.738235592842102,0.370392886,548.0,19.0,0.2734372,0.0,1.0,4.0
293,7.0,56.0,0.446821004152298,0.34530240297317505,0.370392886,135.0,77.0,0.12789756,1.0,1.0,8.0
295,1.0,58.0,1.1784298419952393,0.771803081035614,0.370392886,550.0,26.0,0.28587037,1.0,1.0,6.0
297,3.0,50.0,1.1576160192489624,0.6469661593437195,0.370392886,551.0,27.0,0.23963167,0.0,0.0,10.0
304,8.0,34.0,0.6228077411651611,0.48367708921432495,0.370392886,82.0,83.0,0.17915055,0.0,0.0,2.0
305,7.0,26.0,1.3907148838043213,0.9582602381706238,0.370392886,185.0,97.0,0.35493279,1.0,1.0,7.0
306,6.0,46.0,1.8460932970046997,0.8065025210380554,0.370392886,209.0,92.0,0.2987228,0.0,0.0,7.0
307,3.0,52.0,0.3901687264442444,0.3573027551174164,0.370392886,538.0,74.0,0.1323424,1.0,1.0,1.0
322,2.0,87.0,1.0696479082107544,1.6578863859176636,0.370392886,565.0,38.0,0.61406934,0.0,1.0,4.0
324,1.0,84.0,0.648005485534668,0.42207640409469604,0.370392886,243.0,56.0,0.1563341,1.0,1.0,3.0
325,7.0,64.0,0.8977526426315308,0.4826832115650177,0.370392886,197.0,95.0,0.17878243,0.0,1.0,8.0
327,7.0,33.0,0.9165598750114441,2.043530225753784,0.370392886,11.0,37.0,0.7569091,0.0,1.0,8.0
328,3.0,49.0,1.7171739339828491,1.4610462188720703,0.370392886,582.0,32.0,0.5411611,1.0,1.0,8.0
331,8.0,53.0,1.2456153631210327,0.8214181065559387,0.370392886,72.0,83.0,0.3042474,0.0,1.0,6.0
332,5.0,38.0,1.8136504888534546,1.1729650497436523,0.370392886,52.0,39.0,0.4344579,0.0,1.0,7.0
338,7.0,69.0,0.8669471144676208,0.6570670008659363,0.370392886,6.0,36.0,0.24337295,1.0,1.0,6.0
343,5.0,36.0,0.8067765831947327,0.5320268869400024,0.370392886,150.0,87.0,0.19705898,0.0,0.0,7.0
344,7.0,74.0,0.8262370228767395,1.305771827697754,0.370392886,146.0,86.0,0.4836486,0.0,0.0,5.0
345,6.0,39.0,0.9230466485023499,0.4032512605190277,0.370392886,222.0,92.0,0.1493614,0.0,1.0,7.0
346,4.0,59.0,0.8985309600830078,0.713848888874054,0.370392886,374.0,12.0,0.26440454,0.0,1.0,8.0
347,3.0,57.0,1.2294719219207764,0.9300872683525085,0.370392886,328.0,5.0,0.3444977,1.0,0.0,7.0
348,0.0,73.0,0.5366540551185608,0.369117796421051,0.370392886,570.0,19.0,0.1367186,0.0,1.0,3.0
349,7.0,46.0,0.5902896523475647,0.540566086769104,0.370392886,459.0,71.0,0.20022184,1.0,1.0,7.0
350,2.0,63.0,1.0246429443359375,1.2098952531814575,0.370392886,398.0,14.0,0.4481366,1.0,1.0,3.0
351,5.0,54.0,0.5087624788284302,0.9079157710075378,0.370392886,571.0,28.0,0.33628553,1.0,1.0,1.0
352,7.0,28.0,1.0683296918869019,0.7031428813934326,0.370392886,572.0,35.0,0.26043913,0.0,0.0,5.0
354,8.0,33.0,0.5371167063713074,0.5478902459144592,0.370392886,20.0,45.0,0.20293465,1.0,1.0,3.0
355,3.0,49.0,0.6228077411651611,0.9166067242622375,0.370392886,68.0,83.0,0.3395046,0.0,0.0,2.0
359,4.0,77.0,0.46958333253860474,0.7278240919113159,0.370392886,2.0,34.0,0.26958087,0.0,0.0,2.0
360,0.0,39.0,1.1775224208831787,0.7765142917633057,0.370392886,126.0,82.0,0.28761536,0.0,0.0,6.0
363,5.0,75.0,0.43852877616882324,0.3317442834377289,0.370392886,355.0,9.0,0.12287572,1.0,1.0,4.0
366,6.0,72.0,0.664559543132782,0.8976098895072937,0.370392886,575.0,32.0,0.33246833,1.0,0.0,2.0
367,5.0,51.0,0.893642008304596,0.5893099308013916,0.370392886,145.0,77.0,0.2182762,0.0,0.0,5.0
368,8.0,25.0,0.5303950309753418,0.5410338044166565,0.370392886,577.0,49.0,0.20039508,1.0,1.0,3.0
371,2.0,58.0,0.5465896129608154,0.3803364932537079,0.370392886,377.0,14.0,0.14087394,0.0,1.0,4.0
373,7.0,41.0,1.6272752285003662,2.1505298614501953,0.370392886,580.0,17.0,0.796541,0.0,1.0,9.0
374,7.0,20.0,0.6574352979660034,0.5105692148208618,0.370392886,121.0,81.0,0.1891112,0.0,0.0,2.0
375,7.0,27.0,0.6425939798355103,0.42293626070022583,0.370392886,581.0,24.0,0.15665258,0.0,1.0,3.0
379,3.0,38.0,2.6845433712005615,3.5282936096191406,0.370392886,281.0,57.0,1.3068548,0.0,1.0,9.0
382,6.0,67.0,0.9068252444267273,0.7217864394187927,0.370392886,601.0,39.0,0.26734456,0.0,1.0,7.0
383,4.0,41.0,0.986855685710907,0.6869407296180725,0.370392886,554.0,69.0,0.25443795,0.0,1.0,6.0
389,7.0,41.0,0.446821004152298,0.3876432776451111,0.370392886,112.0,77.0,0.14358032,1.0,1.0,4.0
391,5.0,55.0,2.4671390056610107,2.0125410556793213,0.370392886,531.0,69.0,0.7454309,1.0,1.0,10.0
396,8.0,75.0,1.3907148838043213,1.8367840051651,0.370392886,185.0,97.0,0.6803317,1.0,0.0,6.0
400,3.0,65.0,0.8259059190750122,0.5649510622024536,0.370392886,319.0,63.0,0.20925385,0.0,0.0,4.0
405,4.0,67.0,0.3837490677833557,0.3130391538143158,0.370392886,549.0,72.0,0.11594748,1.0,0.0,2.0
406,9.0,65.0,0.648005485534668,0.42207640409469604,0.370392886,223.0,56.0,0.1563341,1.0,0.0,2.0
408,8.0,51.0,0.7781751751899719,0.5690134763717651,0.370392886,270.0,64.0,0.21075854,1.0,1.0,6.0
411,9.0,81.0,0.5788080096244812,0.8069167733192444,0.370392886,594.0,27.0,0.29887623,0.0,1.0,5.0
415,7.0,71.0,0.6228076815605164,0.5054610967636108,0.370392886,79.0,83.0,0.18721919,0.0,0.0,3.0
419,9.0,60.0,0.687493085861206,0.4728670120239258,0.370392886,597.0,53.0,0.17514658,0.0,1.0,2.0
420,7.0,27.0,1.1447826623916626,0.8719179630279541,0.370392886,31.0,32.0,0.3229522,0.0,0.0,6.0
426,5.0,48.0,0.6367111206054688,0.5417413711547852,0.370392886,28.0,33.0,0.20065714,1.0,0.0,2.0
429,6.0,39.0,1.378239631652832,0.9753597974777222,0.370392886,422.0,50.0,0.36126634,1.0,0.0,7.0
431,7.0,60.0,0.5061478614807129,0.3462243974208832,0.370392886,293.0,68.0,0.12823905,0.0,1.0,2.0
433,5.0,42.0,0.8473973274230957,1.077895164489746,0.370392886,371.0,52.0,0.3992447,0.0,1.0,6.0
435,6.0,18.0,1.597409963607788,2.1553008556365967,0.370392886,604.0,2.0,0.7983081,0.0,0.0,5.0
437,5.0,36.0,0.6953574419021606,0.7183358073234558,0.370392886,176.0,97.0,0.26606646,0.0,0.0,5.0
438,7.0,47.0,1.8957866430282593,1.6447057723999023,0.370392886,106.0,90.0,0.6091873,1.0,1.0,8.0
439,4.0,77.0,0.49591442942619324,0.39398497343063354,0.370392886,350.0,11.0,0.14592923,0.0,1.0,3.0
441,9.0,55.0,1.4428390264511108,1.0935405492782593,0.370392886,53.0,41.0,0.40503964,1.0,0.0,2.0
